Date,y,state,p_Low Vol,p_Mid Vol,p_High Vol
2020-06-16,-0.9686340592604225,1,0.3077444853942237,0.3887087141953799,0.3035468004103771
2020-06-17,-0.9817291526519275,2,0.19865297030090992,0.3771005318877014,0.42424649781140306
2020-06-18,-0.9823951692399479,2,0.3343467298001152,0.0182684557207728,0.6473848144791171
2020-06-19,-1.0523790652061151,2,0.002191815453350583,5.7665325077922017e-08,0.9978081268813436
2020-06-22,-1.069311629541607,2,0.01012776146508156,0.008345020629502691,0.9815272179053907
2020-06-23,-1.0638293934989151,2,0.012816307552120291,4.7718979655644244e-05,0.9871359734682194
2020-06-24,-1.0100003301035607,2,0.013277581045131697,2.0622228232426275e-05,0.9867017967266267
2020-06-25,-1.5831504951075555,2,0.22230742006230345,0.3775874034140873,0.4001051765236091
2020-06-26,-1.4482493581060067,2,0.30433702129308987,0.18135905580944864,0.5143039228974361
2020-06-29,-1.4143534669710558,2,0.3267746954376216,0.23836225248761939,0.434863052074765
2020-06-30,-1.4683985206369028,2,0.2975846429682803,0.3251389370038219,0.37727642002790535
2020-07-01,-1.454861308481898,2,0.31979643352103415,0.3316367655558146,0.3485668009231308
2020-07-02,-1.4469222185142958,2,0.28328077077752606,0.1934939573060757,0.5232252719163911
2020-07-06,-1.4319369123949697,2,0.2634102882061015,0.2677618220688386,0.46882788972507455
2020-07-07,-1.4013287641945362,2,0.09516222615236847,0.0004442232523667444,0.9043935505952874
2020-07-08,-1.3944697458631867,2,0.06684754353380304,0.08258143176980151,0.8505710246963806
2020-07-09,-1.5960336057388154,2,0.2989042401851494,0.17828203008998147,0.5228137297248835
2020-07-10,-1.5984846003306898,2,0.2309261246893316,0.3373666759431926,0.43170719936748425
2020-07-13,-1.8785856157893648,1,0.37027747881089607,0.4968697694461855,0.1328527517429247
2020-07-14,-1.8974597978616647,1,0.35260847184737704,0.456666032321579,0.19072549583107148
2020-07-15,-1.9272218468732054,1,0.35794860159479275,0.48725732922507087,0.1547940691801602
2020-07-16,-1.9017036844555628,1,0.3645887666272163,0.501641317515737,0.13376991585704767
2020-07-17,-1.9052037163224045,1,0.2513901966557827,0.5110338079072184,0.23757599543700536
2020-07-20,-1.9962599997893316,1,0.35005720840081855,0.5191175176428351,0.1308252739563688
2020-07-21,-2.150791689811509,1,0.17039561225589417,0.6027819593432934,0.22682242840083663
2020-07-22,-2.163932574789376,1,0.15852727528650432,0.4310123486497573,0.41046037606373253
2020-07-23,-2.0262933772544827,2,0.051161161847754405,0.3137279028922163,0.6351109352600023
2020-07-24,-2.0259501464692478,2,0.140118227168743,0.36458196218640765,0.49529981064486667
2020-07-27,-2.096029723103163,1,0.20842729637937069,0.4521315200706002,0.33944118355003544
2020-07-28,-2.1562364327872015,1,0.22785394355663063,0.3882133432805381,0.3839327131628286
2020-07-29,-2.0967104710945965,1,0.2087940160829305,0.430203891703158,0.3610020922138946
2020-07-30,-2.094450445735375,1,0.3343399215773593,0.45474221106666396,0.21091786735598608
2020-07-31,-2.057692141177097,1,0.2710171508795429,0.45290816982623816,0.27607467929422946
2020-08-03,-2.0694926853288615,1,0.233704093574774,0.4747706390590245,0.29152526736622775
2020-08-04,-2.0648499752645093,1,0.3643823875541805,0.5256988526514436,0.1099187597943888
2020-08-05,-2.060945389717348,1,0.3489033129847817,0.4376622901851987,0.21343439683002086
2020-08-06,-2.264976096977703,0,0.48736372242318254,0.3785870560155526,0.13404922156126756
2020-08-07,-2.408476306893452,0,0.5535289139255365,0.3645801159692913,0.08189097010514998
2020-08-10,-2.425986685556071,0,0.8493850900584815,0.031189261737615184,0.11942564820391212
2020-08-11,-2.3554140924604634,0,0.505686996420892,0.2890518352526664,0.2052611683264655
2020-08-12,-2.310090130255476,0,0.9637105741966067,0.015020923803228415,0.02126850200015008
2020-08-13,-2.3438057873942992,0,0.91423737858194,0.009128237576360849,0.0766343838417099
2020-08-14,-2.3545707777589926,0,0.6985040931574571,0.03198052164460814,0.2695153851979072
2020-08-17,-2.3800193903887346,0,0.6352249305463351,0.009943400196164168,0.354831669257476
2020-08-18,-2.3819952050631814,2,0.4519130161876024,0.00017289234894633804,0.5479140914634655
2020-08-19,-2.347864602715967,0,0.6454004083161745,0.05977474668739416,0.2948248449964344
2020-08-20,-2.3879151211252014,0,0.928129178100566,0.003966629650259509,0.06790419224917099
2020-08-21,-2.3803431186027537,0,0.9185536584827552,0.01531273553700203,0.06613360598023538
2020-08-24,-2.2812275397309176,0,0.8701779278906671,0.02425054308080062,0.10557152902851676
2020-08-25,-2.4783547196552718,0,0.9667600204491319,0.017136679745788957,0.016103299805066144
2020-08-26,-2.6355942732904474,0,0.983459304157279,0.015141610984390857,0.0013990848583553244
2020-08-27,-2.704819167309149,0,0.9174006679001059,0.07107198729490134,0.011527344804993081
2020-08-28,-2.7229337197258214,0,0.9197062181987822,0.07549351733382316,0.004800264467367721
2020-08-31,-2.5754361735382947,0,0.5075040825135703,0.45416796880029336,0.03832794868614736
2020-09-01,-2.507477708371344,1,0.33639756774575935,0.440059762203707,0.22354267005053693
2020-09-02,-2.4975944471043676,0,0.4447050301263874,0.3151635992786428,0.24013137059497167
2020-09-03,-1.5043887904313342,2,0.0018376501449137539,0.10018806015550404,0.8979742896995732
2020-09-04,-1.4795621906834011,2,0.02321080629182611,0.38644609876975866,0.5903430949384363
2020-09-08,-1.3409957348386947,1,0.0035501788141218773,0.5935523617993411,0.40289745938654764
2020-09-09,-1.2587970828162922,2,0.009249290761945719,0.4951068021802639,0.495643907057774
2020-09-10,-1.2481325553021898,2,0.0827912832399912,0.3573466520371197,0.5598620647228861
2020-09-11,-1.2512424575059862,2,0.1532759658007166,0.20468023358674065,0.6420438006125554
2020-09-14,-1.2212221807149162,2,0.11378440398971466,0.010837106572822932,0.8753784894374417
2020-09-15,-1.210752020682676,2,0.06198449898277154,0.01179934406584282,0.9262161569513923
2020-09-16,-1.236754380696462,2,0.019534588486927875,0.022116311211878487,0.9583491003011753
2020-09-17,-1.3017427448146544,2,0.01169983295920911,0.0016036081196925483,0.9866965589211234
2020-09-18,-1.4756172840529573,2,0.002763928342024288,3.1030326934715106e-05,0.997205041331038
2020-09-21,-1.4673728711038825,2,0.007436480014512261,0.00033646110656971315,0.9922270588789185
2020-09-22,-1.604499186696043,2,0.10276068485957567,0.2985482774055706,0.5986910377348504
2020-09-23,-1.6375790795935232,2,0.1488551566784793,0.3263310926396677,0.5248137506818694
2020-09-24,-1.6887803774367558,1,0.23689777666305167,0.45862270005932687,0.3044795232776462
2020-09-25,-1.5686594999004573,1,0.19536245991520565,0.4302374433289403,0.37440009675585295
2020-09-28,-1.5344128749100978,1,0.1300571451593428,0.4539885625979145,0.41595429224274183
2020-09-29,-1.544535460127697,2,0.1762346215012406,0.3648424538967952,0.4589229246019659
2020-09-30,-1.520108451417031,2,0.2258874306554418,0.3091868106555372,0.4649257586890335
2020-10-01,-1.5274066581791528,2,0.026593732759063106,0.03355717106824948,0.9398490961726749
2020-10-02,-1.5771827301609076,2,0.055035600924324184,0.05352417032870894,0.8914402287469909
2020-10-05,-1.5624075585861228,2,0.026264739206029623,0.03135302590132945,0.9423822348926328
