Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,
2021-01-07,352.91705322265625,379.1000061035156,379.8999938964844,375.9100036621094,376.1000061035156,68766800
2021-01-08,354.92791748046875,381.260009765625,381.489990234375,377.1000061035156,380.5899963378906,71677200
2021-01-11,352.53533935546875,378.69000244140625,380.5799865722656,377.7200012207031,377.8500061035156,51034700
2021-01-12,352.6097717285156,378.7699890136719,379.8599853515625,376.3599853515625,378.8900146484375,52547700
2021-01-13,353.5593566894531,379.7900085449219,380.8599853515625,377.8500061035156,378.69000244140625,45303600
2021-01-14,352.3212890625,378.4599914550781,381.1300048828125,378.1000061035156,380.5899963378906,49989100
2021-01-15,349.7518615722656,375.70001220703125,377.5799865722656,373.70001220703125,376.7200012207031,107160000
2021-01-19,352.4981689453125,378.6499938964844,379.2300109863281,376.75,378.3399963378906,51233300
2021-01-20,357.3762512207031,383.8900146484375,384.7900085449219,380.69000244140625,381.1099853515625,61836100
2021-01-21,357.7021179199219,384.239990234375,384.95001220703125,383.25,384.489990234375,47840100
2021-01-22,356.4360656738281,382.8800048828125,384.1300048828125,381.8399963378906,382.25,52860500
2021-01-25,357.8417053222656,384.3900146484375,384.7699890136719,378.4599914550781,383.6700134277344,70402000
2021-01-26,357.28314208984375,383.7900085449219,385.8500061035156,383.5400085449219,385.4100036621094,42665300
2021-01-27,348.5509948730469,374.4100036621094,380.32000732421875,372.010009765625,380.2200012207031,123351100
2021-01-28,351.5486145019531,377.6300048828125,381.92999267578125,375.8900146484375,376.3599853515625,94198100
2021-01-29,344.51080322265625,370.07000732421875,376.6700134277344,368.2699890136719,375.6300048828125,126765100
2021-02-01,350.2452697753906,376.2300109863281,377.3399963378906,370.3800048828125,373.7200012207031,75817600
2021-02-02,355.1978454589844,381.54998779296875,383.2200012207031,376.32000732421875,379.6499938964844,64450700
2021-02-03,355.4772033691406,381.8500061035156,383.70001220703125,380.4800109863281,382.44000244140625,52427100
2021-02-04,359.517333984375,386.19000244140625,386.239990234375,381.9700012207031,382.9599914550781,47142600
2021-02-05,360.9324035644531,387.7099914550781,388.4700012207031,386.1400146484375,388.20001220703125,48669800
2021-02-08,363.5390930175781,390.510009765625,390.55999755859375,388.3500061035156,389.2699890136719,38365200
2021-02-09,363.2969665527344,390.25,390.8900146484375,389.1700134277344,389.6099853515625,35551100
2021-02-10,363.1387634277344,390.0799865722656,392.2799987792969,387.5,392.1199951171875,59154400
2021-02-11,363.7251892089844,390.7099914550781,391.69000244140625,388.1000061035156,391.239990234375,42913300
2021-02-12,365.5218811035156,392.6400146484375,392.8999938964844,389.7699890136719,389.8500061035156,50593300
